id,scene_theme,target,mode,title_en,title_cn,prompt_en,prompt_cn,seed_terms,weight
qwen21_t2i_text_rendering,*,positive_prompt,replace,Readable text rendering,可读文字渲染,"Generate an image that includes the user-provided text, keeping every character clear, correctly spelled, legible, and naturally integrated with the requested layout, material, perspective, and lighting.","生成包含用户指定文字的图像，确保每个字符清晰、拼写正确、易于阅读，并自然融入用户指定的版式、材质、透视和光照。",文字渲染|文字可读|排版|材质透视,170
qwen21_t2i_transparent_rgba,*,positive_prompt,replace,Transparent RGBA output,透明 RGBA 输出,"Generate an RGBA image with a transparent background, keeping the subject edges clean and the alpha regions clearly separated.","生成带 alpha 通道的 RGBA 图像，背景完全透明，主体边缘清晰，透明区域与主体边界明确。",RGBA|透明背景|alpha 通道|边缘清晰,168
qwen21_t2i_subject_scene,*,positive_prompt,replace,Subject and scene generation,主体与场景生成,"Generate the requested subject in the requested setting, with clear structure, natural proportions, coherent materials, and lighting that supports the subject.","根据用户要求生成主体和场景，保持结构清晰、比例自然、材质统一，并让光照服务于主体表现。",主体生成|场景生成|结构清晰|材质统一,166
qwen21_t2i_atmospheric_scene,*,positive_prompt,replace,Atmospheric scene direction,场景氛围设计,"Build the requested scene around a clear subject, environment, time, weather, and lighting relationship. Keep the composition readable and do not add unrequested elements.","围绕用户指定的主体、环境、时间、天气和光照关系构建场景，保持构图清晰，不添加未要求的内容。",场景氛围|环境|时间天气|光照关系,164
qwen21_t2i_wide_composition,*,positive_prompt,replace,Wide panoramic composition,宽幅全景构图,"Create a wide panoramic composition with a complete subject, natural spatial extension, and consistent perspective, scale, lighting, and depth.","生成宽幅全景构图，保持主体完整，空间延展自然，并统一透视、尺度、光照和景深。",全景构图|宽画幅|空间延展|透视一致,162
qwen21_i2i_background_replace,*,positive_prompt,replace,Background replacement with subject preservation,替换背景并保持主体,"Replace the background with the user's requested environment while preserving the subject's identity, pose, proportions, lighting relationship, and all unrequested details.","将背景替换为用户指定的环境，同时保持主体身份、姿态、比例、光照关系以及其他所有未要求修改的细节。",背景替换|主体保持|姿态比例|光照融合,160
qwen21_i2i_face_swap,*,positive_prompt,replace,Face identity replacement from image 2 to image 1,图2换脸到图1,"Use <image1> as the target image and <image2> as the face identity reference. Replace only the face of the person in <image1> with the identity from <image2>. Preserve the target person's body, hairstyle, pose, clothing, composition, background, and lighting; adapt the transferred face to <image1>'s head angle, expression, skin tone, perspective, and light. Do not change any other unrequested detail.","使用 <image1> 作为目标图，使用 <image2> 作为脸部身份参考。仅将 <image1> 中人物的脸部替换为 <image2> 中人物的身份。保持目标人物的身体、发型、姿态、服装、构图、背景和光照不变，让替换后的脸部适配 <image1> 的头部角度、表情、肤色、透视和光照，不改变其他未要求的细节。",换脸|图2到图1|脸部身份|目标主体保持,159
qwen21_i2i_action_change,*,positive_prompt,replace,Subject action or pose change,主体动作或姿态变化,"Change the subject's action, pose, or expression as requested while preserving identity, appearance, composition, background, lighting, and every other unrequested detail.","按用户要求改变主体的动作、姿态或表情，同时保持身份、外观、构图、背景、光照以及其他所有未要求修改的细节不变。",动作变化|姿态变化|表情变化|身份保持,158
qwen21_i2i_multi_reference_composite,*,positive_prompt,replace,Multi-reference subject composite,多参考主体合成,"Use the uploaded reference images according to the user's requested roles and combine the referenced subjects into one coherent composition. Preserve each subject's identity and relevant design details, with consistent scale, perspective, lighting, and contact shadows.","按照用户指定的角色使用上传的参考图，将参考主体合成到同一幅连贯画面中。保持每个主体的身份和相关设计细节，并统一尺度、透视、光照和接触阴影。",多图参考|主体合成|角色分配|身份保持,156
qwen21_i2i_group_composite,*,positive_prompt,replace,Multi-person group composition,多人合影合成,"Combine the uploaded person references into a natural group composition, preserving each person's identity, facial features, hairstyle, clothing, and proportions while matching scale, perspective, lighting, and contact shadows.","将上传的人物参考图合成为自然的合影或群像构图，保持每个人的身份、面部特征、发型、服装和比例，并统一尺度、透视、光照和接触阴影。",多人合影|群像合成|身份一致|光照统一,154
